month,year,review_title,departure_city,arrival_city,review_comment,seat_comfort,food_and_beverages,inflight_entertainment,value_for_money,customer_service,source
Jul,2015.0,Ethiopian Airlines customer review,Washington DC,Kilimanjaro,"I flew my family of 8 in economy on Ethiopian Air July 2 2015, IAD-ADD-JRO and back on July 12th. 777-300 on the ADD legs and 787's on the JRO legs. I have nothing but compliments on the aircraft, cabin staff and the overall experience! Much better service on all four flights than on most domestic carriers and they were pleasant. The cabin did get a little messy on the way back but what do you expect on a 17 hour flight? I would have no hesitation taking EA again or recommending to someone.",4.0,4.0,4.0,4.0,4.0,AirlineQuality
Jul,2015.0,Wasn't a good experience,Addis Ababa,Johannesburg Africa Economy,"It was a cheap ticket, I had flown from Bangkok to ADD had and hour and a half layover so maybe I was already tired but I didn't like the onboard experience at all. There was no onboard entertainment so I just slept as much as I could. The plane was a bit run down and I didn't have the food so I can't comment on that. Got home safe though.",1.0,3.0,3.0,3.0,2.0,TripAdvisor
Jul,2015.0,Great Trip to Africa,Washington DC,Kilimanjaro National Park International Economy,"My family of 8 flew in economy class. The service was the best I have experienced - we had free 1st run movies, excellent food every time we turned around, and free drinks (wine included). I would fly with them any time i had the opportunity in the future.",5.0,5.0,5.0,5.0,4.0,TripAdvisor
Jul,2015.0,Africas pride,Harare,Lagos Africa Economy,"Ethiopian Airline is top notch and remains as my best airline in Africa,everything is just amazing when travelling with Ethiopian airline.",5.0,5.0,5.0,5.0,5.0,TripAdvisor
Aug,2015.0,never been treated so badly,Dubai,Addis Ababa,"I've just returned from a trip using Ethiopian Airlines. On the outbound journey they bumped us off one flight, bumped us off another then re routed us via Entebbe causing us to miss a whole day of activities whilst on tour in Rwanda. When we arrived it was to major disappointment our luggage didn't. The airline staff had no idea where our bags were and it took 2 days to locate them (one member ensuring us they were in Addis and would be arriving on the next flight, 6 flights arrived and still no luggage and one telling us they got takn off in Entebbe as there was no room on the plane due to other cargo). This ruined the start of our holiday as well as missing out on activities that we had pre paid for! The return leg was nothing more than a farce and absolute disgrace to the aviation industry! We were due to depart Kigali at 3.30 on Sep 29th, they hoarded the passengers to the gate where we were kept for over 4 hours as the screen kept displaying delay messages, no staff were present to request assistance from, nor was there access to any bathroom or water, we were hot and tired along with many other passengers. Eventually, around 6pm, we found out the flight was cancelled due to a cracked windscreen. This is not the ideal information to receive. Instead of handling the situation, their ground staff manager in Kigali airport was a disgrace and had no customer service skills. We were given no information and when asking for information or whether we could be rebooked she continued to shout at all the tired and upset passengers and treat us like dogs. We were herded round the back of the airport to collect our own bags and told to leave if we want - to go where?? Having arrived at the airport at 1.30pm and after a long tiring day we eventually were rebooked by 10.30pm, it took 9 hours and we were offered nothing! Not even a spoken apology came from the ground staff! We were rebooked at 2.30am on September 30th and had nowhere to go. We then had to go via Addis and Dubai and had approx another 24 hours of travelling till we'd reach our final destination. This meant taking extra days of vacation as we arrived back a day late. We were offered nothing by means of an apology, food or water just abuse by the Ethiopian Airlines ground staff. I've never been treated so badly in my life, my holiday was ruined due to their inability to provide the service I paid for and it was apparant they do not care about their passengers just making money by redirecting flights to collect more people (money) and refusing to rebook us with alternate airlines when cancelling our flight. I am appalled a so called customer service orientated company can treat human beings like this, yet alone paying customers! To make matters worse the planes were old, there was no entertainment on board, not even a shared TV screen and the seats were old and uncomfortable.",1.0,3.0,1.0,1.0,1.0,AirlineQuality
Aug,2015.0,this is a flight worth considering,Kochi,Dar es Salaam,"As a Star alliance partner, Ethiopian Airlines share the domestic route with Air India from Kochi to Mumbai. My flight was from Mumbai to Addis and Addis to Dar es Salaam. Overall, I would say this is a flight worth considering. The quality of the flight is good and the service is also reasonably good. Inflight entertainment needs to be improved. A route from India (or any other country for that matter) should have more choices for the local people who travel that route. Except that it was a comfortable journey. Airport in Addis needs to be improved a lot. Addis to Dar flight was less crowded and food was not so great, but good. Overall a good experience.",4.0,3.0,2.0,4.0,4.0,AirlineQuality
Aug,2015.0,complete disregard to customers,Dulles,Cotonou,"After a first (and last) experience with Ethiopian Airlines, I will never recommend it. We booked a round trip to Benin and at destination on Sat Aug 15 in Cotonou, 3 of our bags were missing. We were told we would get them the following Monday. However, we didn't get our bags until Wednesday the 19th. Following this horrible experience, a representative of ET took care of us in Benin and did a great job. Unfortunately, we are back in the US today and none of our bags (4 of them) made it. This is unacceptable and a complete disregard to customers. The representatives at the airport just told us that we would get our luggage without any explanation, many other flyers were in the same situation in both Cotonou and Dulles. The bags had all priority tags on them and were still left behind. On a first flight with Ethiopian Airlines, we are completely discouraged by the service.",2.0,3.0,3.0,1.0,2.0,AirlineQuality
Aug,2015.0,Ethiopian Airlines customer review,Bangkok,Addis Ababa,I flew ET on 27 Aug 2015 from BKK to ADD in Business Class. Knowing the massive investment of Ethiopian in brand new B787 planes I expected also a good quality in the rest of the ET's fleet - I was completely wrong. The Business Class on B767-300 is at least 20 years old. Seats are with old mechanical controls and not working properly. In-flight entertainment is very poor and the screen's quality is very bad. The two hostesses tried to do their best but the state of the cabin was so poor that it was impossible to enjoy this 8 hrs flight. First and last time I fly Ethiopian.,1.0,2.0,1.0,1.0,2.0,AirlineQuality
Aug,2015.0,Ethiopian Airlines customer review,Bangkok,Lagos,"Ethiopian boasts about having the youngest fleet in Africa, this may be the true, but they use their very old planes to fly to Thailand. I have flown for the second time in one in business class, Bangkok-Addis Ababa return, and am totally disgusted. The plane is not only old (ashtray in lavatory !), but the seating is bad, narrow and not always working. There is no VOD. Overhead compartments are small. Food average, nothing to be proud of, with one of the dishes on the menu almost always missing. In contrast, the flight on a Boeing 777-300 from Addis Ababa was nice (good seat, good entertainment, same so-so food), but crew was nice in all cases.",3.0,3.0,1.0,4.0,4.0,AirlineQuality
Aug,2015.0,Bangalore to Lusaka good experience,Mumbai,Lusaka International Economy,"Flying from Mumbai to Lusaka via Addis Ababa, I was skeptical but the journey was made pleasant by the in flight personnel, the food was not great for someone who enjoyed food in Emirates, Swiss Air, Singapore Airlines or Lufthansa but it was not bad",3.0,5.0,5.0,3.0,5.0,TripAdvisor
Aug,2015.0,Very nice plane,Washington DC,Addis Ababa International Economy,The plane was nice and the service was pretty good. The food was ok. One complaint I have is that they fed you and then left your trays on the tray table for over an hour after you finished. All I wanted was a trash can to discard the remnants of my lunch so I could regain some room. A second complaint was the apparently when you go on a very long trip (14 hours) if the bathrooms run out of toilet paper - then too bad!,1.0,3.0,3.0,3.0,3.0,TripAdvisor
Aug,2015.0,Economical,Harare,London International Economy,Quite good value for money although i did not quite like the service provided by the airhostesses. i was however impressed that the airline thought to provide us a transit visa as well as accommodation and food since we had a lay-over in Addis Ababa,3.0,2.0,4.0,3.0,3.0,TripAdvisor
Aug,2015.0,Very good Airlies,Kano,Addis Ababa Africa Economy,its reasonable affordable price and its capability of travelling to major cities in attract a lot of passengers,3.0,4.0,5.0,3.0,4.0,TripAdvisor
Sep,2015.0,pay excess baggage for duty free,London,Lagos,"I was travelling Ethiopian Airlines to Lagos from London via Addis Ababa. I bought 2 bottles of perfume and 3 books with some chocolates at the duty free shops. When I got to the gate, I was shocked to meet a very hostile Ethiopian Airlines staff there who said I was now over my baggage allowance and I was told that I had to pay for excess luggage or miss my flight. He was very rude when I tried to explain myself to him. I had never experienced anything like that with any other airline before. What you buy at duty free shops airside shouldn't count as excess luggage, especially when it's not excessive. Otherwise why are the shops there? I had the receipts as proof that the items were bought there at the airport but he didn't want to hear anything I had to say. He shouted at me everytime I tried to explain. So I had no choice but to pay. Is this right for airlines to make passengers pay for excess baggage for duty free goods bought at the airport? I have given the ground service rating 1 star because there's nothing lower. They don't actually deserve any star at all. The cabin staff were good.",3.0,3.0,2.0,3.0,2.0,AirlineQuality
Sep,2015.0,Below my expectations,Harare,Cairo North Africa Economy,"Many people I know rant and rave about this airline but I did not understand why. The day before my departure, I received an email from the airline to say that my flight has been cancelled. After calling their office, I was informed this was not the case and that the flight will be leaving earlier (by 2 hours) than scheduled. It seems not all the passengers were informed of this change as we faced a delay of 3 hours (1 hour later than the original scheduled time). Service on-board is satisfactory.",4.0,3.0,4.0,3.0,3.0,TripAdvisor
Sep,2015.0,I Love the BOLE INTERNATIONAL AIRPORT OF ETHIOPIA and everything about Ethiopian Airline.,Lagos de Moreno,Mumbai International Economy,"Ethiopian Airline is very economic no matter the distance to fly, it is beautiful new flights. With beautiful young cabin crews. Enough to eat and drink inflight, Free drinks are offered on request. Personal seat Videos are interesting films both HARRY POTTER, and i couldn't finish listening to all the soul and classic songs in hours of my flight. The transits are well arranged, such that this airline rescheduled the transit departure and the loudged me within the city at RIVIERRA HOTEL. Drove us with airport bus, free transit Visa, at this 5star hotel, each person with a luxury room even when on economy class for our refreshments. Lunch Dinner and Breakfast was free. I love this airline.",4.0,4.0,5.0,4.0,4.0,TripAdvisor
Sep,2015.0,"Long, long distance",Brussels,Lilongwe International Economy,"Since there are no direct flights to Malawi from Europe, Ethiopian Airlines is one way to get there, but it takes time. Fisrt a short flight to Paris and after a one hour stopover a longer flight to Addis Ababa, where you arrive early in the morning, which means that it can be very cold, since Addis Ababa is an altitude airport. Service on board is OK, but not much room for your legs. Waiting for a connecting flight at the Bole Airport is not comfortable, but it takes only 3 hours. The flight to Lilongwe nearly 4 hours. Cabin crew is friendly (Ethiopian English!) but even less space for your legs.",4.0,5.0,4.0,4.0,2.0,TripAdvisor
Sep,2015.0,What a nice surprise,Brussels,Johannesburg International Economy,"This airline compares well, especially to most American companies. The staff on board was really friendly, interested and helpful. The seats were good; the plane was clean. Entertainment was good, as was the food. I will definitely fly with them again (booked already, in fact)",3.0,4.0,4.0,4.0,4.0,TripAdvisor
Sep,2015.0,Very nice B787/ very old B757 - Good airline for travels to Africa,Frankfurt,Zanzibar Island International Business Class,The crew was on both flights very friendly and professional. The dreamliner was very luxurious and food was very good. The Business Seat is not a full flat seat but still comfortable. The connecting flight was an adventure because the aircraft was extremely old and used. We still enjoyed the hospitality on board and in the lounge. We will use Ethiopian again for travels to Africa!,4.0,5.0,5.0,5.0,4.0,TripAdvisor
Sep,2015.0,"Comfortable, Long Flight",Toronto,Kilimanjaro National Park International Economy,"I flew on Ethiopian Airlines for the first time in Oct 2014. I was very impressed with the service and the plane. It was one of the newer planes, with more leg room in Economy. The meals were tasty, the staff were great. This was a very long flight and luckily the middle seat was unoccupied so I enjoyed more space. I like how the soft drinks and water are left out near the washroom so travellers can help themselves. This was my first very long fligh and was very apprehensive about being bored. I thoroughly enjoyed the flight, the movies and chatting with other travellers, especially the ones who travelled to Tanzania to climb Mt. Kilimanjaroo.",5.0,5.0,4.0,4.0,5.0,TripAdvisor
Sep,2015.0,Such a great flying experience,Edinburgh,Mombasa International Economy,This airline was very professional in both service and appearance. The whole flight was enjoyable and I felt comfortable. The food was very tasty as well and they offered it at enough stages of the flight that I never felt hungry or thirsty.,5.0,5.0,5.0,3.0,5.0,TripAdvisor
Sep,2015.0,Suprisingly good,London,Zanzibar Island International Economy,We booked with travel republic to go to Zanzibar really competitive pricing. The flight with the airline was coming out really cheap so we did not expect much. But we were really surprised as it was a really great flight the seats were comfortable and 32 inch pitch. The ambiance on the plane wad good and the service really good. The food was really nice aswell. We would readily use them again especially at the prices. The only negative is you have to go through addis ababa airport and that was not a great experience nothing horrible but not great.,5.0,5.0,5.0,3.0,5.0,TripAdvisor
Oct,2015.0,helpful and friendly,Bangkok,Kuala Lumpur,"On my Bangkok to Kuala Lumpur flight it was an old plane. The cabin looks like the mid 80's - no PTV/AVOD (I don't need it on an 2h flight but remember there were some pax coming from Addis Ababa with this plane), old leather seats and a dirty seatpocket. Even if the plane was so old, the FAs did there best to make this flight comfortable and were helpful and friendly. A good hot meal and two times free drinks were served on this short flight. The meal was tasty. Plane arrived 20 minutes early in KUL. Flight in Economy was very cheap compared to Thai or Malaysia Airlines. Captain gave some flight information, nothing special to remember. All in all Ethiopian Airlines is for an african carrier very good, in their modern aircraft it must be a nice experience. I flew Ethiopian Airlines several times now, and never credited my mileage automatically - for frequent flyers not ideal, and you must credit the miles manually by contacting the costumer service of the airline - Ethiopian Airlines should improve that, it should be possible for a Star Alliance Carrier.",3.0,4.0,1.0,5.0,4.0,AirlineQuality
Oct,2015.0,care for luggage is non existent,Bangkok,Cape Town,"I'm a frequent traveler between Bangkok and Cape Town (at least six times per year) and on my last trip (November 2015) I decided to use Ethiopian Airlines because their price was very competitive and it's an African airline, and I always try to support an African enterprise. This time my journey proved to be a mistake and, proved that you get what you pay for. Firstly, the planes were small and cramped - but I suppose this contributes to the low airfare. The departure lounges at Addis Ababa airport were shocking. Most of the info TVs were not working or showing other things apart from flight and departure info. The toilets were horrendous - wet floors, smelly, locks on doors broken, extremely aggressive staff, etc Thirdly and most importantly, Ethiopian Airlines does not take responsibility for your luggage. I had bought a Panasonic LED TV which I took back to Cape Town. At check in I asked for them to put on a Fragile sticker. I was told to take it to Oversize luggage and that they will put on the sticker. This I did and again I asked to for the sticker to be put on. They said they would. When changing planes at Addis Ababa my new seat was above the cargo hold of the plane and I saw them loading on my TV, without any sticker! I wasn't too concerned, as I thought they could quite easily see that it's a TV and would be careful. when I got home in Cape Town, I unpacked the TV only to find the screen had been cracked. I immediately phoned the Ethiopian Airlines call center and was told that I should send an email to Customer Relations explaining the problem. This I did, and I received an automated reply saying that they would get back to me within 10 working days - what a shocking time standard for an international company. After 12 working days I sent them a follow up email, and got a reply to say that the South African office will get in touch with me. On my return trip to Bangkok, I had still not heard from the South African office, so while I was at Cape Town International airport I tried to follow up on the matter only to be given the email address of the man in charge. Thirteen days later I had still not heard from the South African office, so again I sent an email. This time I got a rather prompt reply saying that they could not consider the claim because Ethiopian Airlines should not have accepted the TV when I checked in at Bangkok Airport, and I took too long to report the incident - even though all my correspondence (from day one) with them was attached to all emails. I'm sure I don't even need to highlight the stupidity of this kind of reasoning. Their lack of accountability and pathetic customer service leaves me more disappointed than angry. I certainly would not say don't use them. If budget is important then they're the best option, however bear in mind they you'll be dealing with a company where customer service is at an all time low and concern and care for your luggage is non existent.",1.0,2.0,1.0,2.0,2.0,AirlineQuality
Oct,2015.0,I have mixed feelings,Paris,Johannesburg,"Paris CDG to Johannesburg via Addis Ababa with Ethiopian Airlines. I have mixed feelings about my flights: on the first trip, Boeing 787 airplane already looked ageing althought it cannot be old, FAs were robotic and didn't smile, food from CDG was bad and the breakfast was almost nothing (two biscuits). Return trip was better, with smiley and nice FAs on both flights, sligthly better food and better looking cabins. On the good side, seats were less cramped that I feared (and I'm tall), travel time CDG-JNB is convenient and of course price is competitive. The IFE is convenient but the choice of films and languages is limited, wine was awful and choice of alcool very limited. The FAs were sometimes rude and/or robotic. Addis Ababa airport is the worst part of the experience: awfully crowded, dirty and rather sad. Ethiopian Airlines has become a huge airline but the airport infrastructures have not followed and the result is clearly very negative.",2.0,1.0,2.0,3.0,2.0,AirlineQuality
Oct,2015.0,it's not worth it,Addis Ababa,Manila,"I've flown Ethiopian within Africa on routes between several cities in Africa and flights have been pleasant. New fleet, cheerful and helpful flight attendants. This is a complete contrast to their flights into and out of the continent. Planes were very old with no inflight entertainment whatsoever. I could never get over the fact that the flight attendants are rude and unwilling to help. I'm not talking about them not smiling (I understand some cultures don't really smile). When several fellow passengers were asking for water or drinks they were ignored. One passenger was trying to call one of them, and he was ignored. When I asked if the flight was full and if it was possible for me to change seats (I was seated next to a very obnoxious passenger), the flight attendant just said ""if you can find an empty seat go ahead."" Besides that, it takes them way too long to serve food and get the food trays after eating. Some passengers put their trays on the floor creating a mess and it took them too long to clean it, even though they could clearly see the mess those passengers were making. And there are only three toilets in the economy class for almost 200 people. There was a queue to the lavatories the whole time. I booked my flight because they offered the fastest route to my destinations in Africa, but I've discovered it's not worth it. They're not even that much cheaper compared to other airlines! How this airline became a part of the Star Alliance is one of life's greatest mysteries.",3.0,2.0,1.0,1.0,2.0,AirlineQuality
Oct,2015.0,let down for Ethiopian hospitality,Addis Ababa,London,"Addis Ababa to London with Ethiopian Airlines. The seats were very cramped, the service slow and lazy - I was in a window seat and unable to get out, and when I asked for some water the stewardess almost rolled her eyes and finally very grudgingly filled my water bottle. Why not give everyone a bottle as most airlines do on over night flights? The lights were turned off/on and on/off so many times, and it was hard to get sleep when they're doing this frequently. A let down for Ethiopian hospitality which was otherwise so good. Addis Ababa airport was another lesson in poor customer service - 1.5 hrs to get through the second lot before the boarding gate - bad tempered and unpleasant!",1.0,1.0,1.0,2.0,2.0,AirlineQuality
Oct,2015.0,not for the faint hearted,London,Addis Ababa,"I'm a regular flyer on Ethiopian Airlines (London to Addis Ababa). The positives are few and far between. You are unable to check in online in the UK. The transfer service at Heathrow is terrible where the desk only opens 2 hours before departure. The IT system at Heathrow is almost non existent, and you are unable to upgrade, and bookings, even adding your Star Alliance Gold Card don't work. Boarding the plane is a shambles. Amazingly even the new aircraft look tired and shabby. The onboard toilets are filthy and often there are no hand towels. The staff appear poorly trained. The choice of drinks is limited and poor quality and food is normally poor. My luggage gets lost about 1 in 3 of all flights on Ethiopian. Luggage tracing is non existent. The Bole Airport experience is pretty poor, aggressive customs, shambolic Visa on Arrival, rip off taxi drivers. I used to fly business class but it is simply not worth it. An Ethiopian Airlines flight is not for the faint hearted.",1.0,1.0,1.0,1.0,1.0,AirlineQuality
Oct,2015.0,use again if prices remain o good,Dublin,Cape Town,Business class from Dublin to Addis Ababa and economy onto Cape Town. Excellent help at the check in desk at Dublin and easy boarding despite plane arriving late from Los Angeles. Great welcome on the plane and helpful staff throughout - this was so on the economy flight to Cape Town as well. Very comfortable business class seats - although going full flat to 180 degs would be better. 7Boeing 87 a great plane to fly on - quiet and better cabin conditions. Boeing 737 to Cape Town very full - spacious seating for a small plane. Good service with reasonable food. Toilets kept clean. Realtively easy boarding in Addis Ababa via bus transfer. First time using Ethiopian and likely to use again if prices remain so good. Shame about their hub at Addis Ababa - not the best airport in the world.,5.0,4.0,4.0,5.0,4.0,AirlineQuality
Oct,2015.0,Good,Khartoum,Johannesburg Africa Business Class,"Airline company average. Improved on-board services, especially food that is of good quality but limited choice. Discreet audio and video choice. The quality of seats depends on the plane: the new 787 or 777 are good, the seats are transformed into beds. The old 767 are retiring. I have used both outbound and return flights from Johannesburg to Addis a 777 and I was fine. On average the flight from Khartoum to Addis trip with a 737-800.",3.0,3.0,3.0,3.0,4.0,TripAdvisor
Oct,2015.0,Good price,Nairobi,Cape Town Central Africa Economy,Needed quick tickets to Capetown and checked several flight options both on trip advisor and airline websites and finally landed on Ethiopian Airlines. Visited the booking office in Nairobi and found out its actually cheaper to do a direct online booking on their site which was easy as well in a laptop but quite frustrating on my mobile device. It took a couple of hours more because we had to change planes at Addis (both to and fro) but for what I was paying it wasn't that bad. Food was ok and seats ok as well. It was good value. For anyone who complains and compares it to Etihad and Emirates remember this... you pay 3 times as much on such flights so just deal with it and relax!,3.0,4.0,5.0,3.0,2.0,TripAdvisor
Oct,2015.0,Bearable if your saving a lot by flying with them,Durban,Dublin International Economy,"I was lucky enough to get a very good price on my ticket, and they do offer quite a large baggage allowance. My trip to Ireland was good with only a 3 hour layover in Addis, it took nearly an hour and a half to get through security, However my trip back was not great, completely wrong terminals were printed on my boarding pass, I had a 12 hour layover and was offered a free hotel stay, which was grimy, and not up to a standard of hosing international travelers, and located across informal settlements. Food is just bearable, but I carried myself a pack of pringles on return, not every flight has inflight entertainment of your own choice.They are currently renovating their International terminal, so stay away for the next 6 months.",2.0,4.0,3.0,2.0,4.0,TripAdvisor
Oct,2015.0,Best rated African Airline,Nairobi,Tel Aviv International Economy,"Ethiopian Hospitality at its best, the beautiful Air hostesses make the already comfortable airline even smoother, the ladies are eye candy the food is amazing and there is no shortage of nice alcoholic drinks on board kudos Ethiopian !!",5.0,5.0,5.0,5.0,5.0,TripAdvisor
Oct,2015.0,Great alternative to more expensive airlines,Toronto,Arusha International Economy,"From Toronto, it was a direct flight with a stop in Rome. The change of planes in Addis was quick. We flew a brand-new 777. For the trip to Arusha, the plane was a surprisingly large 767 and there were a lot of people on it (it went on to Mombasa from Arusha). Compared to other carriers, the price was quite a bit cheaper. However there was nothing second-rate about the service. Food just seemed to keep coming except when we were sleeping. The flight to Addis was overnight and there were plenty of empty seats so that you could lie down. All in all, a great flying experience for a long trip.",5.0,5.0,5.0,5.0,4.0,TripAdvisor
